starting_url,date,last_url
https://web.archive.org/web/20180131/coinpeople.com/forum/5-world-coin-forum/?page=6,unknown,http://www.coinpeople.com/forum/5-world-coin-forum/?page=6
https://web.archive.org/web/20180304/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180314/coinpeople.com/forum/5-world-coin-forum/?page=6,5-world-coin-forum,http://www.coinpeople.com/forum/5-world-coin-forum/?page=7
https://web.archive.org/web/20180330/coinpeople.com/forum/5-world-coin-forum/?page=6,5-world-coin-forum,http://www.coinpeople.com/forum/5-world-coin-forum/?page=7
https://web.archive.org/web/20180404/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180405/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180414/coinpeople.com/forum/5-world-coin-forum/?page=6,5-world-coin-forum,http://www.coinpeople.com/forum/5-world-coin-forum/?page=7
https://web.archive.org/web/20180613/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180704/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180807/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20180826/coinpeople.com/forum/5-world-coin-forum/?page=6,5-world-coin-forum,http://www.coinpeople.com/forum/5-world-coin-forum/?page=7
https://web.archive.org/web/20181005/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20181215/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20190103/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
https://web.archive.org/web/20190126/coinpeople.com/forum/5-world-coin-forum/?page=6,20180708185402,https://web.archive.org/web/20180708185402/http://www.coinpeople.com/forum/5-world-coin-forum/?page=8
